ProjectCode;BH_ID;Motherhole;HoleType;MaxDepth;DepthFrom;DepthTo;Date;Cr2O3_%;FeO_%;SiO2_%;MgO_%;Al2O3_%;CaO_%;P_%;Au_ICP_ppm;Pt_ICP_ppm;Pd_ICP_ppm;Rh_ICP_ppm;Ir_ICP_ppm;Ru_ICP_ppm;Stratigraphy;Filter
J1520;MD17;MD17;borehole;645.33;348.92;349.8;17. Sep 13;39.33;24.26;7.07;12.27;15.61;0.76;0.00;0.01;0.53;0.16;0.30;0.13;0.59;MG1;1
J1492;MD18;MD18;borehole;524.83;390.79;391.39;17. Sep 13;49.90;19.30;6.28;10.46;11.81;0.55;0.00;0.01;0.68;0.28;0.23;0.13;0.49;MG1;1
J1126;SC06;SC06;borehole;639.35;291.49;291.69;03. Sep 13;;;;;;;;0.01;0.50;0.19;0.22;0.08;0.42;MG1;1
J1122;SC56;SC56;borehole;550.65;213.95;214.23;20. Sep 13;;;;;;;;0.01;0.70;0.26;0.19;0.10;0.39;MG1;1
J1476;ZK132;ZK132;borehole;37.15;35.47;35.66;17. Sep 13;37.79;24.06;7.48;11.69;14.80;1.57;0.00;0.01;0.81;0.21;0.25;0.11;0.45;MG1;1
J1925;ZK134;ZK134;borehole;284.54;169.21;169.4;19. Sep 13;39.44;24.64;5.50;12.30;15.20;0.51;0.00;0.01;0.61;0.19;0.25;0.13;0.54;MG1;1
J1920;ZK134;ZK134;borehole;284.54;169.21;169.4;19. Sep 13;39.55;24.50;5.60;12.30;15.30;0.51;0.00;0.01;0.84;0.21;0.26;0.13;0.54;MG1;1
J1925;ZK135;ZK135;borehole;265.99;146.95;147.24;19. Sep 13;42.87;23.56;5.50;12.00;14.40;0.57;0.00;0.01;0.46;0.14;0.18;0.12;0.51;MG1;1
J1926;ZK135;ZK135;borehole;265.99;147.46;147.62;19. Sep 13;;;;;;;;0.01;0.64;0.26;0.22;0.11;0.40;MG1;1
J1924;ZK136;ZK136;borehole;281.16;156.03;156.23;19. Sep 13;43.86;23.22;4.70;11.30;14.80;0.59;0.00;0.01;0.47;0.12;0.18;0.11;0.49;MG1;1
